"","tgfb_perc","ctrl_perc"
"ACTA2",66.6666666666667,0
"ADAMTS1",0,0
"ATP6AP1",0,0
"B2M",0,0
"BGN",33.3333333333333,0
"BHLHE40",0,0
"CAV1",0,0
"CDKN2A",0,0
"CDKN2B",0,0
"COL1A1",33.3333333333333,66.6666666666667
"COL1A2",0,0
"COL4A1",33.3333333333333,0
"COL5A1",0,0
"CTGF",0,33.3333333333333
"DCN",0,0
"EGR2",33.3333333333333,0
"ELN",66.6666666666667,66.6666666666667
"ENG",0,0
"ETS1",0,0
"FBLN1",33.3333333333333,0
"FBN1",66.6666666666667,33.3333333333333
"FGF2",0,0
"FN1",0,0
"GADD45B",0,0
"GUSB",0,0
"HAS2",0,0
"ID1",0,0
"IL6",0,0
"ITGA1",66.6666666666667,0
"ITGA2",0,0
"JUN",0,0
"JUNB",0,0
"LARP6",0,0
"LOXL1",0,0
"LOXL2",33.3333333333333,0
"LTBP2",0,0
"MMP1",66.6666666666667,66.6666666666667
"MMP13",0,0
"MMP14",0,0
"MMP2",0,0
"NOX4",0,0
"PDGFA",0,0
"PMEPA1",0,0
"PPIA",0,0
"PPP3CA",0,0
"PSMD14",0,0
"PTEN",33.3333333333333,0
"RARA",0,0
"RARG",0,0
"RHOB",0,0
"SERPINE1",0,0
"SERPINE2",0,33.3333333333333
"SKI",0,0
"SKIL",0,0
"SMAD3",0,0
"SMAD7",0,0
"SPARC",33.3333333333333,33.3333333333333
"TGFB1",0,0
"TGFBR1",0,0
"TGFBR2",0,0
"THBS1",33.3333333333333,0
"THBS2",66.6666666666667,0
"TIMP1",0,0
"TIMP3",100,0
"TP53BP1",0,0
"VCAN",0,0
"VEGFA",33.3333333333333,0
"VIM",0,0
