"","tgfb_perc","ctrl_perc"
"ACTA2",100,66.6666666666667
"ADAMTS1",66.6666666666667,66.6666666666667
"ATP6AP1",33.3333333333333,0
"B2M",0,66.6666666666667
"BGN",100,0
"BHLHE40",33.3333333333333,33.3333333333333
"CAV1",66.6666666666667,33.3333333333333
"CDKN2A",0,0
"CDKN2B",33.3333333333333,66.6666666666667
"COL1A1",100,100
"COL1A2",100,66.6666666666667
"COL4A1",100,66.6666666666667
"COL5A1",33.3333333333333,0
"CTGF",100,66.6666666666667
"DCN",0,0
"EGR2",33.3333333333333,0
"ELN",100,0
"ENG",66.6666666666667,66.6666666666667
"ETS1",33.3333333333333,0
"FBLN1",66.6666666666667,100
"FBN1",100,66.6666666666667
"FGF2",66.6666666666667,0
"FN1",100,0
"GADD45B",0,0
"GUSB",0,0
"HAS2",66.6666666666667,33.3333333333333
"ID1",0,0
"IL6",0,0
"ITGA1",100,66.6666666666667
"ITGA2",0,66.6666666666667
"JUN",100,66.6666666666667
"JUNB",0,0
"LARP6",33.3333333333333,0
"LOXL1",100,66.6666666666667
"LOXL2",66.6666666666667,0
"LTBP2",100,66.6666666666667
"MMP1",100,100
"MMP13",0,0
"MMP14",66.6666666666667,0
"MMP2",66.6666666666667,66.6666666666667
"NOX4",66.6666666666667,33.3333333333333
"PDGFA",33.3333333333333,0
"PMEPA1",66.6666666666667,0
"PPIA",0,0
"PPP3CA",66.6666666666667,0
"PSMD14",66.6666666666667,0
"PTEN",66.6666666666667,0
"RARA",0,0
"RARG",100,66.6666666666667
"RHOB",66.6666666666667,0
"SERPINE1",100,100
"SERPINE2",100,100
"SKI",66.6666666666667,0
"SKIL",66.6666666666667,0
"SMAD3",66.6666666666667,0
"SMAD7",0,0
"SPARC",100,66.6666666666667
"TGFB1",100,33.3333333333333
"TGFBR1",100,33.3333333333333
"TGFBR2",100,0
"THBS1",100,66.6666666666667
"THBS2",66.6666666666667,66.6666666666667
"TIMP1",66.6666666666667,33.3333333333333
"TIMP3",66.6666666666667,33.3333333333333
"TP53BP1",0,0
"VCAN",100,33.3333333333333
"VEGFA",66.6666666666667,0
"VIM",66.6666666666667,0
